tod,username,seed,Trial #,Trial A Time,Trial A Errors,Trial A Average Time Between Targets,Trial A Standard Devation Between Targets,Trial B Time,Trial B Errors,Trial B Average Time Between Targets,Trial B Standard Devation Between Targets
1469729743237,P01_2_1,1469729742904,1,8.773,0.0,0.36554167,0.13838683,9.655,0.0,0.40230688,0.20167474
1469730133262,P01_2_1,1469730133077,2,9.672,0.0,0.403,0.21323167,18.889,3.0,0.7870584,0.72613096
1469730854394,P01_2_1,1469730854206,3,10.053,1.0,0.418875,0.27332464,14.239,2.0,0.59330916,0.46811375
1469731572269,P01_2_1,1469731572082,4,8.422,0.0,0.35091665,0.12202592,19.054,5.0,0.79393137,0.76701707
1469732412882,P01_2_1,1469732412696,5,8.853,0.0,0.368875,0.18340945,13.122,4.0,0.5467654,0.6026458
1469733012680,P01_2_1,1469733012489,6,13.854,4.0,0.57725,1.0049584,14.82,4.0,0.617524,0.41734537
1469734002361,P01_2_1,1469734002171,7,10.107,4.0,0.421125,0.47277838,13.972,1.0,0.5821842,0.37825516
1469734552335,P01_2_1,1469734552148,8,8.864,0.0,0.36933336,0.24539536,15.277,2.0,0.63655704,0.71405274
1469735157892,P01_2_1,1469735157706,9,10.236,1.0,0.4265,0.30926016,15.157,1.0,0.63155943,0.42960232
1469735972648,P01_2_1,1469735972461,10,8.612,0.0,0.35883334,0.17655538,9.823,0.0,0.40930665,0.19137909
1469736613083,P01_2_1,1469736612894,11,9.755,0.0,0.40645835,0.2198814,11.489,3.0,0.47872525,0.5521128
1469815721434,P01_2_1,1469815721044,12,15.583,2.0,0.6492917,0.6042133,17.712,0.0,0.73802704,0.5044634
